"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물소유구분명","급수시설구분명","년도","다중이용업소여부","시설총규모","위생업종명","위생업태명","총종업원수","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"1216","깔자매cafe","대구광역시 북구 읍내동 967-1번지 ","대구광역시 북구 대천로 21 (읍내동, 구수산도서관 주차장 부지내 지정된 장소)","20161227","운영중","","","","","10.00","702850","","상수도전용","2016","N","10","휴게음식점","푸드트럭","","","340084.11369600000  ","272361.71306300000  ","3450000-104-2016-00249","영업"
"1217","신바람","전라남도 보성군 보성읍 봉산리 1265번지 ","","20161207","운영중","","","","","11.40","546804","","","2016","N","11.4","휴게음식점","푸드트럭","","","207834.08171        ","135260.436152       ","4890000-104-2016-00012","영업"
"1218","예그리나","경기도 용인시 처인구 마평동 703번지 용인실내체육관 지정 주차장 내 ","경기도 용인시 처인구 경안천로 76 (마평동, 용인실내체육관 지정 주차장 내)","20161214","운영중","","","","","10.00","449929","","","2016","N","10","휴게음식점","푸드트럭","","","218985.51241100000  ","415510.07027700000  ","5620000-104-2016-00152","영업"
"1219","레드트럭","광주광역시 서구 치평동 1200번지 광주광역시청 문화광장 내 야외스케이트장 ","광주광역시 서구 내방로 111 (치평동, 광주광역시청 문화광장 내 야외스케이트장)","20161212","운영중","","","","","15.00","502702","","","2016","N","15","휴게음식점","푸드트럭","","","186622.33809300000  ","184866.72817700000  ","3600000-104-2016-00155","영업"
"1220","그남자","경기도 양주시 장흥면 석현리 392-7번지 ","","20161125","운영중","","","","","10.00","482812","","상수도전용","2016","N","10","휴게음식점","푸드트럭","","","195449.157486       ","469721.407543       ","5590000-104-2016-00107","영업"
"1221","마노만두","충청남도 공주시 상왕동 836번지 석장리 구석기 축제 행사장 ","","20170428","운영중","","","","","8.70","314230","","","2017","N","8.7","휴게음식점","푸드트럭","","","215923.884564       ","327323.12952        ","4500000-104-2017-00021","영업"
"1222","고고푸드트럭","경기도 용인시 처인구 삼가동 556번지 용인시청광장 내 ","경기도 용인시 처인구 중부대로 1199 (삼가동, 용인시청광장 내)","20170501","운영중","","","","","10.00","449704","","상수도전용","2017","N","10","휴게음식점","푸드트럭","","","215899.54290500000  ","415787.29453100000  ","5620000-104-2017-00055","영업"
"1223","원티드","강원도 강릉시 초당동 459-28번지 경포호수광장 ","","20170519","운영중","","","","","10.00","210120","","","2017","N","10","휴게음식점","푸드트럭","","","368039.73231        ","478982.961258       ","4200000-104-2017-00078","영업"
"1224","삼형제 푸드","대전광역시 유성구 봉명동 55-2번지 , 갑천변 둔치 (하천) ","","20170501","운영중","","","","","","305301","","","2017","N","0","휴게음식점","푸드트럭","","","231457.857542       ","317129.939854       ","3670000-104-2017-00105","영업"
"1225","레인보우마카롱","전라북도 익산시 금마면 동고도리 526번지 금마서동공원 내 푸드트럭 존 ","전라북도 익산시 금마면 고도9길 41-14, 1층 (금마서동공원 내 푸드트럭 존)","20170511","운영중","","","","","10.00","570912","","상수도전용","2017","N","10","휴게음식점","푸드트럭","","","205442.40641400000  ","278262.47689800000  ","4680000-104-2017-00053","영업"
"1226","고고푸드트럭","경기도 용인시 처인구 원삼면 사암리 855-1번지 ","경기도 용인시 처인구 원삼면 농촌파크로 80-1","20170511","운영중","","","","","10.00","449872","","","2017","N","10","휴게음식점","푸드트럭","","","226387.93113000000  ","408242.31385100000  ","5620000-104-2017-00060","영업"
"1227","푸드트럭한끼","서울특별시 중랑구 묵동 378번지 ","서울특별시 중랑구 중랑천로 332 (묵동, 중랑천)","20170427","운영중","","","","","8.00","131854","","","2017","N","8","휴게음식점","푸드트럭","","","206520.78360700000  ","457249.18030000000  ","3060000-104-2017-00045","영업"
"1228","이동 푸드트럭","세종특별자치시 어진동 734번지 세종호수공원 매화공연장 일원 ","","20170427","운영중","","","","","8.82","339012","","","2017","N","8.82","휴게음식점","푸드트럭","","","224201.599957       ","333291.882892       ","5690000-104-2017-00075","영업"
"1229","헝그리 베어","세종특별자치시 어진동 734번지 세종호수공원 매화공연장 일원 ","","20170427","운영중","","","","","9.39","339012","","","2017","N","9.39","휴게음식점","푸드트럭","","","224201.599957       ","333291.882892       ","5690000-104-2017-00076","영업"
"1230","달리는모모트럭","인천광역시 미추홀구 문학동 482번지 ","인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장 야구장 7번게이트 앞)","20170724","운영중","","","","","5.00","","","","","","","","","","","","","3510500-104-2017-00116","영업"
"1231","스카치랩","인천광역시 미추홀구 문학동 482번지 ","인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장야구장 7번게이트 앞)","20170724","운영중","","","","","10.00","","","","","","","","","","","","","3510500-104-2017-00117","영업"
"1232","쉬림프킹","인천광역시 미추홀구 문학동 482번지 ","인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장 동문광장)","20170725","운영중","","","","","10.00","","","","","","","","","","","","","3510500-104-2017-00118","영업"
"1233","트리플럭키","인천광역시 미추홀구 문학동 482번지 문학경기장 ","인천광역시 미추홀구 매소홀로 618, 문학경기장 주경기장 (문학동)","20180323","운영중","","","","","10.00","","","","","","","","","","","","","3510500-104-2018-00025","영업"
"1234","더맨꼬치","인천광역시 미추홀구 문학동 482번지 문학경기장 ","인천광역시 미추홀구 매소홀로 618, 문학경기장 주경기장 (문학동)","20180323","운영중","","","","","10.00","","","","","","","","","","","","","3510500-104-2018-00026","영업"
