NUM,가게명,x,y,주소
132,커피벨트 2호점,333856.7834,210456.8235,경상남도 창녕군 남지읍 남지리 835-16번지 하천부지 
133,쥬스킹,333856.7834,210456.8235,경상남도 창녕군 남지읍 남지리 835-16번지 
134,커피벨트,328485.1448,228055.9353,경상남도 창녕군 유어면 세진리 251-1번지 (도시공원지역) 
135,우포쉼터,328501.6831,228241.4218,경상남도 창녕군 유어면 세진리 422번지 
136,뉴욕타이거푸드카페,296146.6892,160108.2016,경상남도 사천시 대방동 681번지 삼천포대교공원 
137,우리가족,296146.6892,160108.2016,경상남도 사천시 대방동 681번지 삼천포대교공원 
138,동의보감촌 푸드트럭,275111.3174,216042.6177,경상남도 산청군 금서면 특리 1300-30번지 
139,푸드트럭 마루코스,386390,213304,경상남도 양산시 상북면 소석리 197번지 마루코스6홀 
140,푸드트럭 가온코스,386390,213304,경상남도 양산시 상북면 소석리 198번지 가온코스 5번홀 
141,울산미스터(Mr)오튀김,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 더비랜드 내 
142,맛짱,370517.0353,195116.6364,경상남도 김해시 대성동 434번지 대성동고분박물관주차장 
143,빈스킹,370517.0353,195116.6364,
144,말랑말랑분식,353275.2872,193914.5174,경상남도 창원시 의창구 용호동 2번지 성산아트홀 야외광장 
145,진해티로스,353275.2872,193914.5174,경상남도 창원시 의창구 용호동 2번지 성산아트홀 야외광장 
146,판다멀,333856.7834,210456.8235,경상남도 창녕군 남지읍 남지리 835-16번지 
147,깡패팩토리,354657.4669,227654.9571,경상남도 밀양시 부북면 가산리 82번지 
148,대디피자,358908.6696,196420.7129,경상남도 김해시 진례면 송정리 360번지 김해분청도자관일원 
149,주박스,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 더비랜드내 
150,알프스화덕피자,353513.9047,193625.3386,경상남도 창원시 의창구 신월동 98번지 용지문화공원 
151,심쉐프,353513.9047,193625.3386,경상남도 창원시 의창구 신월동 98번지 용지문화공원 내 
152,머스마들,353513.9047,193625.3386,경상남도 창원시 의창구 신월동 98번지 용지문화공원 
153,미스터브로,353513.9047,193625.3386,경상남도 창원시 의창구 신월동 98번지 
154,머스마들5호,353513.9047,193625.3386,경상남도 창원시 의창구 신월동 98번지 용지문화공원 
155,본동네,365314.384,209865.2767,경상남도 김해시 생림면 마사리 644번지 김해낙동강레일파크 주차장 
156,집나간아주매,365314.384,209865.2767,경상남도 김해시 생림면 마사리 644-1번지 김해낙동강레일파크 주차장 
157,런닝맨,365314.384,209865.2767,경상남도 김해시 생림면 마사리 644-1번지 김해낙동강레일파크 주차장 
158,예솔푸드,383681,206067,경상남도 양산시 물금읍 범어리 2764번지 (워터파크 B구역) 
159,꿀삐닭강정,347962.0777,155302.9685,경상남도 거제시 고현동 564번지 
160,커피이야기,351281.6314,193929.7282,경상남도 창원시 의창구 두대동 188-3번지 창원과학체험관(대상공원내) 
161,밍스트럭,354954.3127,155887.8243,경상남도 거제시 옥포동 1980번지 옥포1동주민센터공원 인근 
162,아름다운 동행,283274.8538,141616.5161,경상남도 남해군 남면 당항리 산 289-4번지 두곡소공원 내 
163,드림카푸드트럭,374911,222494,경상남도 밀양시 단장면 고례리 1604번지 
164,호순이네,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 더비랜드 내 
165,진해티로스,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 더비랜드 내 
166,도깨비,282201,148529,경상남도 남해군 남해읍 남변리 555번지 남해유배문학관 일원 
167,"(주)롯데리아(나뚜루,엔제리너스)",370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 더비랜드 내 
168,사천대교왕씨앗호떡,292749.5734,167875.1916,경상남도 사천시 서포면 자혜리 산 23-20번지 사천대교공원내 
169,알로하키친,353275.2872,193914.5174,경상남도 창원시 의창구 용호동 2번지 성산아트홀 야외광장 
170,할리트럭,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 더비랜드 내 
171,꼬꼬댁푸드,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 더비랜드 내 
172,영희네 닭꼬치.닭발,385038.5191,207667.5001,
173,경천대 푸드트럭 휴게소,311466.334,328936.0378,경상북도 상주시 사벌면 삼덕리 3-3번지 
174,후후,326233.0382,280668.7013,경상북도 칠곡군 석적읍 중지리 552번지 
175,두드림,350472,318079,경상북도 의성군 의성읍 원당리 208-1번지 
176,쉼터마루,300746,314013,경상북도 상주시 청리면 마공리 1238번지 
177,8890 2호점,360815.5107,257023.0902,경상북도 경산시 유곡동 290-1번지 
178,동네방네,405938.1004,282330.1684,경상북도 경주시 강동면 유금리 525번지 위덕대학교 학교주차장 
179,피짜우기,,,경상북도 의성군 안계면 용기리 620번지 5 
180,에어커피,303458.7408,360557.8784,경상북도 문경시 문경읍 고요리 72-4번지 
181,피자박스(PIZZABOX),414002.6468,285144.6013,경상북도 포항시 남구 송도동 254-100번지 송도테마거리일원 
182,딸바보아이스크림,414002.6468,285144.6013,경상북도 포항시 남구 송도동 254-100번지 송림테마거리일원 
183,행복상자커피존,414002.6468,285144.6013,경상북도 포항시 남구 송도동 254-100번지 송도테마거리일원 
184,다일리또,362740.2663,269679.4654,경상북도 경산시 하양읍 부호리 33번지 학생회관1층앞주차장 18호관 편의점 앞 주차장 
185,파티쉐프,362740.2663,269679.4654,"경상북도 경산시 하양읍 부호리 33번지 경일대학교 학생회관 1층 앞 주차장, 18호관 편의점 앞 주차장 "
