EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	INFLOW_NM3	INFLOW_NM4	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
KIMJANG	1	20141031	4300000000	충청북도				2412.053803	1440.130771	971.923032	123.54609	118.98561	55.398809	62.794821	22.330207	226.665719	237.334407	144.896069	142.722162	40.737534	93.773794	6.568588	22.329419	71.124196	70.923346	123.54609	117.709621	74.432316	75.885526	61.566879	124.456611	76.098979	35.444541	4.64279	43.808573	9.037864	34.073247	41.835515	80.942225	68.442255
KIMJANG	1	20141031	2900000000	광주광역시				2516.704797	1428.773683	1087.931114	115.019923	111.067677	108.539564	70.121085	42.782878	153.688638	229.543054	107.950775	154.461423	79.666826	81.03576	18.429094	31.349332	69.966528	55.151126	115.019923	112.558049	102.191683	41.870254	80.042178	149.338959	136.312003	7.48866	17.61215	3.73881	15.187075	34.815827	87.663316	98.10696	85.985267
KIMJANG	1	20141031	4600000000	전라남도				2442.049128	1384.354884	1057.694244	107.315762	97.473725	87.543319	49.467559	42.457731	215.615728	217.858078	198.726306	111.528728	43.010034	24.806132	17.515733	59.674116	35.880909	75.481024	107.315762	104.753077	71.548628	55.355108	91.104568	173.994183	78.158589	6.248755	21.962876	40.674897	50.8925	56.824233	68.102258	91.166426	39.592384
KIMJANG	1	20141031	3100000000	울산광역시				2536.039348	1430.500696	1105.538652	106.362516	104.229649	88.153821	61.801451	16.603463	155.87442	228.480049	101.583248	170.381444	113.16419	70.929888	14.541103	61.854332	64.110588	72.430534	106.362516	98.306976	83.183006	51.489653	76.359006	163.083864	142.301627	14.717373	17.434282	32.646386	38.639568	24.291186	82.583688	86.479256	87.660265
KIMJANG	1	20141031	5000000000	제주특별자치도				2392.698555	1124.652167	1268.046388	106.862917	106.701384	64.735023	20.604116	7.261462	150.330461	235.975438	46.658367	94.439927	32.863419	10.216445	28.243565	50.520089	75.81621	93.423344	106.862917	106.862917	94.618691	77.36693	64.2655	219.143663	200.728863	73.66674	26.725152	13.091739	36.305156	48.258623	82.439077	48.129396	69.581024
KIMJANG	1	20141031	3600000000	세종특별자치시				2219.71393	1523.66714	696.04679	70.413791	61.289474	69.206161	55.922228	46.865001	65.578797	77.185466	199.021945	283.354794	272.28485	125.893221	28.213822	47.737178	69.273252	51.42716	70.413791	70.413791	70.413791	55.251322	37.874864	52.96577	25.391545	35.392513	5.734008	16.540062	58.941304	69.273252	57.666583	67.327625	2.446569
KIMJANG	1	20141031	4900000000	제주도				1512.016858	856.378782	655.638076	28.000312	28.000312	28.000312	28.000312	28.000312	28.000312	28.000312	464.374414	28.000312	28.000312	28.000312	28.000312	28.000312	28.000312	28.000312	28.000312	28.000312	28.000312	28.000312	28.000312	28.000312	28.000312	218.833209	28.000312	28.000312	28.000312	72.800811	28.000312	28.000312	28.000312
KIMJANG	1	20141101	4100000000	경기도				2700.407742	1393.836676	1306.571066	143.682418	134.948521	110.507106	82.232472	10.374252	111.987594	114.572915	70.433056	142.962559	132.851982	106.130331	96.27801	3.121715	59.197351	74.556394	143.682418	133.183422	94.617086	55.388925	109.690142	139.333191	81.834917	53.456982	103.745416	49.510819	23.919989	32.606551	81.62643	105.251065	98.723713
KIMJANG	1	20141101	1111000000	서울특별시	종로구			2624.359063	1311.647948	1312.711115	162.440666	150.230469	115.239678	74.551035	21.53687	51.497261	88.884682	73.949895	140.666296	129.025524	109.095657	125.720698	22.751403	38.533118	7.524696	162.440666	154.356996	113.704394	69.217184	11.301639	101.325532	84.545521	58.993486	126.910004	100.356068	89.29193	31.916978	44.695879	83.528485	80.126353
KIMJANG	1	20141101	1138000000	서울특별시	은평구			2550.213805	1428.549038	1121.664767	144.140463	137.835226	127.354216	93.026106	18.505726	34.575403	118.5211	83.831451	154.345981	76.701906	133.503269	185.35878	85.581299	24.792163	10.475949	144.140463	139.982767	121.399672	84.35279	16.603308	61.647429	124.284028	44.56472	73.816826	27.503704	11.563457	17.912079	60.107997	93.662414	100.123113
KIMJANG	1	20141101	1141000000	서울특별시	서대문구			2716.354246	1414.940349	1301.413897	152.975974	142.981059	123.822112	104.659111	62.652906	76.165361	115.841041	93.694967	113.891506	105.858284	96.34974	147.211943	36.890937	2.865263	39.080145	152.975974	148.241968	99.681919	82.464401	48.685424	106.364921	86.298082	89.14335	108.273927	39.946966	51.940054	38.755358	63.516214	96.804226	88.321113
KIMJANG	1	20141101	2800000000	인천광역시				2635.270667	1391.364087	1243.90658	131.295381	122.500996	108.870656	75.191419	2.521824	181.941844	128.953276	94.243237	141.096809	70.986974	81.501917	57.713009	30.702176	71.888255	91.956314	131.295381	110.529902	80.947047	63.46174	85.973833	179.976039	118.078129	85.713259	48.098581	43.358426	1.586821	16.293945	71.700488	107.268891	99.624098
KIMJANG	1	20141101	1129000000	서울특별시	성북구			2649.110402	1512.797269	1136.313133	142.215513	140.501158	116.61218	106.74387	22.499259	90.915233	144.749427	84.165499	164.8651	105.500173	101.808711	135.880439	84.609164	20.553451	51.178092	142.215513	138.291449	100.726398	81.442058	45.398677	82.683745	100.576787	36.426311	93.969198	26.889673	5.563613	11.175039	77.767824	94.627085	98.559763
KIMJANG	1	20141101	1144000000	서울특별시	마포구			2668.311409	1425.79217	1242.519239	140.993756	135.417519	126.998494	106.110384	68.721351	22.584975	144.72461	127.280646	130.155325	111.267188	76.443041	133.080115	63.709723	9.929407	28.375636	140.169165	133.864008	108.251586	90.393049	13.564895	94.67515	100.383504	115.955054	77.736874	83.800577	39.637144	12.721778	48.010914	100.042126	83.313415
