EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
KIMJANG	1	20151023	3000000000	대전광역시		2557.130906	1462.951129	1094.179777	101.046109	101.046109	99.412599	57.307721	31.125754	113.035363	182.894653	194.955152	170.818889	98.24217	55.786164	60.259235	44.499167	70.91013	81.611914	101.046109	100.023257	90.741253	53.613239	74.884498	200.222078	88.273176	30.336987	7.874945	42.499261	8.857088	33.217258	81.138654	99.015671	82.436303
KIMJANG	1	20151023	4600000000	전라남도		2565.71769	1388.457619	1177.260071	108.613214	108.613214	55.988475	58.541024	28.840609	178.270302	208.056442	114.053534	140.269944	107.585796	14.830376	33.64887	59.212748	88.28878	83.644291	108.613214	108.613214	70.056284	68.117882	157.063033	168.290411	116.452546	49.145851	19.389139	27.699319	52.361168	52.572281	51.056105	79.767487	48.062137
KIMJANG	1	20151023	4300000000	충청북도		2301.525685	1193.109028	1108.416657	96.632029	96.561363	81.968774	40.18733	29.181056	244.050153	224.192928	124.111794	107.876214	9.597071	2.257199	7.733837	8.599499	56.299244	63.860537	96.632029	92.886716	86.738749	63.825204	97.028938	202.233378	141.672366	6.99184	43.33198	23.351087	24.605413	29.00439	51.564603	85.502089	63.047875
KIMJANG	1	20151023	2900000000	광주광역시		2480.728289	1342.136221	1138.592068	97.787872	97.787872	97.787872	86.818471	14.893683	183.472716	199.009644	86.912634	73.760358	136.476718	78.052733	8.439224	32.888638	68.41996	79.627826	97.787872	97.787872	90.120297	59.688463	118.04152	233.8806	97.16664	12.89669	19.809736	12.254668	24.872537	39.400573	84.452162	84.892405	65.540033
KIMJANG	1	20151023	3100000000	울산광역시		2314.58667	1332.226248	982.360422	87.288522	87.288522	84.245839	84.005628	38.822676	94.925479	334.44334	174.408897	23.34236	74.160502	29.214204	1.612978	64.895444	73.409618	80.162239	87.288522	87.288522	30.251564	48.42759	64.845622	174.035235	90.921949	58.173072	21.070134	28.409939	25.7943	60.144588	78.267235	48.42759	79.01456
KIMJANG	1	20151023	5000000000	제주특별자치도		2543.676097	1403.553682	1140.122415	102.332094	102.332094	102.332094	78.022379	53.373007	138.727119	182.203177	72.930764	48.135825	73.173375	245.621934	17.563486	30.179307	61.718858	94.908169	102.332094	102.332094	95.344871	63.756798	148.625685	106.071553	126.111298	18.000188	77.977092	52.260227	35.32268	1.308487	65.84326	97.868035	46.968053
KIMJANG	1	20151023	3600000000	세종특별자치시		2420.24816	1462.383954	957.864206	74.2982	74.2982	52.40936	73.690177	73.55506	31.362745	140.469155	208.500211	186.881602	275.923243	42.005405	18.796928	62.205291	74.2982	73.690177	74.2982	74.2982	74.027967	70.920293	36.398079	15.252378	94.124265	130.0652	71.69496	52.305771	20.927262	32.614823	74.2982	62.340408	74.2982
KIMJANG	1	20151023	4900000000	제주도		1451.918729	943.972802	507.945927	27.357443	27.357443	27.357443	27.357443	27.357443	27.357443	27.357443	492.998047	14.665846	27.357443	108.019593	27.357443	27.357443	27.357443	27.357443	27.357443	27.357443	27.357443	27.357443	27.357443	27.357443	27.357443	124.941725	27.357443	27.357443	27.357443	27.357443	27.357443	27.357443	27.357443
KIMJANG	1	20151024	4100000000	경기도		2665.633415	1325.545336	1340.088079	147.532684	137.633923	116.814289	88.024988	5.40398	90.907456	101.071021	71.069	130.265841	114.133343	98.603366	69.618342	0.956061	70.420084	83.090958	147.532684	137.819413	96.464135	44.353006	118.673367	162.452804	97.965025	64.048529	118.872927	54.829045	39.970671	0.335971	60.578889	103.203173	92.98844
KIMJANG	1	20151024	1111000000	서울특별시	종로구	2532.215325	1242.942584	1289.272741	175.215531	156.499339	108.39404	78.393004	44.847194	21.174931	87.412059	50.360064	92.588644	129.750896	112.308178	115.941158	3.329774	48.425046	18.302726	175.695151	162.144518	107.330056	29.025258	9.112774	32.746445	61.429906	110.852779	154.597399	132.29233	87.941295	76.711579	35.348519	74.48438	39.560352
KIMJANG	1	20151024	1141000000	서울특별시	서대문구	2727.647038	1242.683823	1484.963215	155.879438	147.209314	107.7747	91.063035	48.882882	85.662993	87.996702	74.543559	95.019502	75.981355	65.353228	60.613559	10.464117	71.063949	65.17549	155.879438	147.556119	121.509621	52.517109	57.383939	118.638365	75.6779	127.763672	146.505589	110.820804	113.378488	58.019747	24.194704	92.240727	82.876993
KIMJANG	1	20151024	1138000000	서울특별시	은평구	2761.856614	1348.856273	1413.000341	154.968267	147.846089	120.861854	84.769235	41.169054	57.103662	130.726676	114.184843	101.104047	98.895505	86.555832	76.076373	14.778211	61.93528	57.881345	154.968267	149.780416	111.716414	92.565834	64.952139	94.834159	95.026851	100.963234	102.015626	113.636412	70.154812	59.919924	40.109251	79.225646	83.131356
KIMJANG	1	20151024	1129000000	서울특별시	성북구	2689.951272	1303.84303	1386.108242	155.567782	148.513504	113.898698	44.364816	41.193994	36.451106	146.789303	101.388899	117.803507	119.100661	43.393285	56.316786	10.187733	77.84261	91.030346	155.567782	139.649616	116.044608	63.43779	40.17442	98.306154	99.947616	113.920051	125.362233	94.414692	75.758088	65.661102	20.647709	96.755441	80.46094
KIMJANG	1	20151024	2800000000	인천광역시		2599.889834	1308.318523	1291.571311	138.911582	129.853487	116.483099	77.877817	25.506663	118.312465	180.441415	97.405073	91.328314	84.414958	61.469304	42.988052	15.923792	46.763906	80.638596	138.843133	131.83851	110.657322	29.499526	87.046444	210.133105	116.04604	58.913871	57.225461	59.963424	34.256991	16.707153	49.6844	100.215034	90.540897
KIMJANG	1	20151024	1144000000	서울특별시	마포구	2605.456646	1316.402662	1289.053984	137.631738	135.409559	121.814583	108.918006	60.204659	46.30916	166.814774	114.006268	102.823943	69.88807	89.244839	79.014879	5.777138	22.610146	55.9349	137.631738	124.822461	90.57709	78.212249	18.85625	118.664908	124.601301	161.870424	141.680337	26.952391	56.150241	4.706788	22.4911	85.180368	96.656338
