EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
LAMP	1	20151023	4600000000	전라남도		2516.441045	1357.021584	1159.419461	103.062872	103.062872	89.312931	58.796138	60.085895	254.054269	189.835541	83.368829	115.814653	76.976116	12.376068	38.90022	40.963833	64.661732	65.749615	103.062872	103.062872	92.542934	70.661911	219.309314	147.284746	42.870431	22.884791	31.385978	57.596102	52.874467	47.334115	54.253947	74.475108	39.819873
LAMP	1	20151023	2900000000	광주광역시		2463.960001	1214.146365	1249.813636	100.881306	100.881306	96.685979	82.853053	29.884715	235.304255	194.493043	72.187598	61.431245	60.382413	14.455233	2.326076	33.336537	64.883067	64.160539	100.881306	100.881306	97.233702	56.550681	135.129161	248.298114	93.78188	19.373089	40.690013	0.69456	28.255529	63.076746	82.911321	95.171	86.885228
LAMP	1	20151023	4300000000	충청북도		2410.665639	1231.971805	1178.693834	104.545328	104.413715	100.478475	53.768889	15.894069	283.240314	187.912749	141.111033	74.791054	15.933553	3.390799	27.814732	21.839485	43.555691	53.281919	104.545328	101.91306	96.727494	72.063148	158.20761	182.174405	87.24168	14.732362	31.223518	19.088765	32.684426	52.689659	62.521178	77.564587	85.316614
LAMP	1	20151023	3100000000	울산광역시		2455.848504	1451.933282	1003.915222	93.861979	93.861979	92.97693	74.294707	63.311125	232.143782	280.667539	130.786467	58.520318	48.534659	41.858314	2.146564	65.809784	81.048013	92.111122	93.861979	93.861979	84.068723	47.377683	93.749104	161.166726	41.550471	47.110885	7.762134	32.351095	32.274134	58.036747	73.852183	66.694832	70.196547
LAMP	1	20151023	5000000000	제주특별자치도		2409.627211	1276.585534	1133.041677	100.101315	100.101315	99.945744	70.978519	17.945575	206.216984	252.608106	26.750865	18.613491	29.441197	152.327366	42.509119	30.996902	52.341174	75.707862	100.101315	100.101315	90.704857	30.685761	159.981435	195.32705	100.117908	19.159025	27.964315	3.259721	24.991881	50.287643	76.579056	82.397393	71.383002
LAMP	1	20151023	3600000000	세종특별자치시		2331.060987	1440.369046	890.691941	75.166261	74.903396	71.946164	63.468767	56.437127	31.162651	143.471745	213.525281	241.586124	238.234596	12.472947	2.74694	66.557431	74.903396	73.78622	75.166261	75.166261	74.509099	51.508407	46.448255	38.588589	125.268341	125.334057	8.490541	26.076213	36.85368	32.450691	74.640531	43.425307	56.765708
LAMP	1	20151023	4900000000	제주도		1889.245956	1235.342584	653.903372	36.417001	36.417001	36.417001	36.417001	36.417001	36.417001	36.417001	181.789132	382.982583	36.417001	233.566857	36.417001	36.417001	36.417001	36.417001	36.417001	36.417001	36.417001	36.417001	36.417001	36.417001	36.417001	146.284404	36.417001	36.417001	36.417001	34.197955	36.417001	36.417001	36.417001
LAMP	1	20151024	4100000000	경기도		2762.148904	1416.813033	1345.335871	158.536775	152.20438	138.176745	98.265601	41.195678	167.849727	121.883153	61.099373	96.061191	99.073518	76.23487	72.447039	11.2343	66.112123	56.43856	158.534137	150.981336	123.390313	63.943881	148.055059	191.954503	86.754276	16.662703	64.103788	32.213208	13.415615	12.230496	74.108069	113.074014	95.914473
LAMP	1	20151024	1111000000	서울특별시	종로구	2734.270222	1526.018025	1208.252197	195.13899	184.256332	148.248253	115.32797	33.333611	60.900093	104.600918	50.416174	102.03829	155.527671	166.950086	142.379009	38.565844	26.248698	2.086086	195.13899	188.161057	152.697597	64.196983	7.999093	64.2991	30.133973	38.128204	105.208752	67.065959	53.450481	53.698477	31.500384	94.564365	62.008782
LAMP	1	20151024	1129000000	서울특별시	성북구	2811.31235	1479.879865	1331.432485	180.366167	174.980459	157.842731	102.54269	1.194848	136.044163	171.503459	81.877154	112.260675	111.437576	54.816513	54.486257	11.619072	52.105029	76.803072	180.366167	169.965654	133.251386	61.733252	91.358032	161.560225	79.296079	32.572523	34.655674	49.186924	57.875188	17.883767	42.050014	116.809735	102.867865
